#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.97 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-19.48000,,,
1992.9865,-19.89000,,,
1993.0123,-15.56000,,,
1993.0407,-19.36000,,,
1993.0660,-23.88000,,,
1993.0974,-27.17000,,,
1993.1206,-25.06000,,,
1993.1493,-18.93000,,,
1993.1765,-15.87000,,,
1993.2037,-16.28000,,,
1993.2307,-19.70000,,,
1993.2851,-22.68000,,,
1993.3123,-16.20000,,,
1993.3394,-15.64000,,,
1993.3665,-12.55000,,,
1993.3937,-17.06000,,,
1993.4208,-21.46000,,,
1993.4480,-18.31000,,,
1993.4751,-13.59000,,,
1993.5021,-10.65000,,,
1993.5294,-11.92000,,,
1993.5837,-20.98000,,,
1993.6117,-18.34000,,,
1993.6381,-14.55000,,,
1993.6652,-11.15000,,,
1993.6923,-13.48000,,,
1993.7189,-20.00000,,,
1993.7466,-20.59000,,,
1993.7738,-15.89000,,,
1993.8009,-16.58000,,,
1993.8553,-13.18000,,,
1993.8824,-18.96000,,,
1993.9098,-19.43000,,,
1993.9367,-16.94000,,,
1993.9639,-9.25000,,,
1993.9907,-7.29000,,,
1994.0181,-15.90000,,,
1994.0452,-15.79000,,,
1994.0723,-17.30000,,,
1994.0995,-18.93000,,,
1994.1267,-17.37000,,,
1994.1539,-11.10000,,,
1994.1809,-10.45000,,,
1994.2353,-15.38000,,,
1994.2624,-13.05000,,,
1994.2896,-10.74000,,,
1994.3168,-7.95000,,,
1994.3439,-11.38000,,,
1994.3710,-15.88000,,,
1994.3982,-18.60000,,,
1994.4253,-15.42000,,,
1994.4524,-8.91000,,,
1994.5067,-15.54000,,,
1994.5339,-14.56000,,,
1994.5610,-17.60000,,,
1994.5882,-14.02000,,,
1994.6154,-11.66000,,,
1994.6425,-8.93000,,,
1994.6697,-11.83000,,,
1994.6968,-14.43000,,,
1994.7239,-17.24000,,,
1994.7510,-16.15000,,,
1994.7782,-14.48000,,,
1994.8054,-8.30000,,,
1994.8325,-9.89000,,,
1994.8868,-17.49000,,,
1994.9140,-17.64000,,,
1994.9412,-7.72000,,,
1994.9684,-6.72000,,,
1994.9955,-9.85000,,,
1995.0226,-12.70000,,,
1995.0497,-15.23000,,,
1995.0769,-6.97000,,,
1995.1040,-7.64000,,,
1995.1312,-9.02000,,,
1995.1583,-9.47000,,,
1995.2127,-8.25000,,,
1995.2398,-13.56000,,,
1995.2669,-7.92000,,,
1995.2941,-5.60000,,,
1995.3212,-9.29000,,,
1995.3755,-13.31000,,,
1995.4028,-9.84000,,,
1995.4298,-4.09000,,,
1995.4569,-7.11000,,,
1995.4841,-12.58000,,,
1995.5384,-16.71000,,,
1995.5655,-12.70000,,,
1995.5927,-10.16000,,,
1995.6199,-7.43000,,,
1995.6470,-12.71000,,,
1995.6740,-14.19000,,,
1995.7013,-11.48000,,,
1995.7285,-4.45000,,,
1995.7556,-7.50000,,,
1995.7827,-9.17000,,,
1995.8371,-13.53000,,,
1995.8643,-12.64000,,,
